Width_x,Breadth_y,height_z,Pore_dia,Margin,No_holes_w,No_holes_b,No_holes_h,Shape_no,Porosity,Pore_area,Solid_volume,Volume,Total Surface Area,STL_file_name,shape_name
5,7,9,0.7,1,2,3,4,4,11.26222263,0.322010306,279.5239987,315,535.0026463,structure_PENTAGON_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_1.5999999999999999x1.4500000000000004x1.4000000000000001_outthick_1.0.stl,PENTAGON
5,7,9,0.7,1,2,3,4,5,13.28370072,0.245,273.1563427,315,539.3163508,structure_DIAMOND_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_1.5999999999999999x1.4500000000000004x1.4000000000000001_outthick_1.0.stl,DIAMOND
5,7,9,0.7,1,2,3,4,6,14.39377947,0.212176224,269.6595947,315,539.7039205,structure_HEXAGON_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_1.5999999999999999x1.4500000000000004x1.4000000000000001_outthick_1.0.stl,HEXAGON
5,7,9,0.7,0.5,2,3,5,1,24.42222336,0.49,238.0699964,315,636.4200034,structure_SQUARE_cube_5.00x7.00x9.00_holes2x3x5_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.125_outthick_0.5.stl,SQUARE
5,7,9,0.7,0.5,2,3,5,2,19.68700503,0.3848451,252.9859341,315,575.0336018,structure_CIRCLE_cube_5.00x7.00x9.00_holes2x3x5_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.125_outthick_0.5.stl,CIRCLE
5,7,9,0.7,0.5,2,3,5,3,8.801412718,0.318264336,287.2755499,315,570.4540952,structure_TRI_cube_5.00x7.00x9.00_holes2x3x5_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.125_outthick_0.5.stl,TRI
5,7,9,0.7,0.5,2,3,5,4,13.02777854,0.322010306,273.9624976,315,571.2596714,structure_PENTAGON_cube_5.00x7.00x9.00_holes2x3x5_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.125_outthick_0.5.stl,PENTAGON
5,7,9,0.7,0.5,2,3,5,5,15.35636359,0.245,266.6274547,315,575.7463626,structure_DIAMOND_cube_5.00x7.00x9.00_holes2x3x5_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.125_outthick_0.5.stl,DIAMOND
5,7,9,0.7,0.5,2,3,5,6,16.62823519,0.212176224,262.6210592,315,575.7346987,structure_HEXAGON_cube_5.00x7.00x9.00_holes2x3x5_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.125_outthick_0.5.stl,HEXAGON
5,7,9,0.7,1,2,3,4,1,21.2177784,0.49,248.163998,315,595.4000024,structure_SQUARE_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_1.5999999999999999x1.4500000000000004x1.4000000000000001_outthick_1.0.stl,SQUARE
5,7,9,0.7,1,2,3,4,2,17.06870593,0.3848451,261.2335763,315,540.0515595,structure_CIRCLE_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_1.5999999999999999x1.4500000000000004x1.4000000000000001_outthick_1.0.stl,CIRCLE
5,7,9,0.7,1,2,3,4,3,7.586725996,0.318264336,291.1018131,315,532.8228094,structure_TRI_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_1.5999999999999999x1.4500000000000004x1.4000000000000001_outthick_1.0.stl,TRI
5,7,9,0.7,1,2,3,4,4,11.26222263,0.322010306,279.5239987,315,535.0026463,structure_PENTAGON_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_1.5999999999999999x1.4500000000000004x1.4000000000000001_outthick_1.0.stl,PENTAGON
5,7,9,0.7,1,2,3,4,5,13.28370072,0.245,273.1563427,315,539.3163508,structure_DIAMOND_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_1.5999999999999999x1.4500000000000004x1.4000000000000001_outthick_1.0.stl,DIAMOND
5,7,9,0.7,1,2,3,4,6,14.39377947,0.212176224,269.6595947,315,539.7039205,structure_HEXAGON_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_1.5999999999999999x1.4500000000000004x1.4000000000000001_outthick_1.0.stl,HEXAGON
5,7,9,0.7,0.5,2,3,4,1,21.21777996,0.49,248.1639931,315,595.4000084,structure_SQUARE_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.7333333333333336_outthick_0.5.stl,SQUARE
5,7,9,0.7,0.5,2,3,4,2,17.06868066,0.3848451,261.2336559,315,540.0519303,structure_CIRCLE_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.7333333333333336_outthick_0.5.stl,CIRCLE
5,7,9,0.7,0.5,2,3,4,3,7.58672606,0.318264336,291.1018129,315,532.8228128,structure_TRI_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.7333333333333336_outthick_0.5.stl,TRI
5,7,9,0.7,0.5,2,3,4,4,11.26222351,0.322010306,279.5239959,315,535.0026523,structure_PENTAGON_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.7333333333333336_outthick_0.5.stl,PENTAGON
5,7,9,0.7,0.5,2,3,4,5,13.28370053,0.245,273.1563433,315,539.3163475,structure_DIAMOND_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.7333333333333336_outthick_0.5.stl,DIAMOND
5,7,9,0.7,0.5,2,3,4,6,14.39378002,0.212176224,269.6595929,315,539.7039233,structure_HEXAGON_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.7333333333333336_outthick_0.5.stl,HEXAGON
5,7,9,0.7,1,2,3,4,1,21.2177784,0.49,248.163998,315,595.4000024,structure_SQUARE_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_1.5999999999999999x1.4500000000000004x1.4000000000000001_outthick_1.0.stl,SQUARE
5,7,9,0.7,1,2,3,4,2,17.06870593,0.3848451,261.2335763,315,540.0515595,structure_CIRCLE_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_1.5999999999999999x1.4500000000000004x1.4000000000000001_outthick_1.0.stl,CIRCLE
5,7,9,0.7,1,2,3,4,3,7.586725996,0.318264336,291.1018131,315,532.8228094,structure_TRI_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_1.5999999999999999x1.4500000000000004x1.4000000000000001_outthick_1.0.stl,TRI
5,7,9,0.7,1,2,3,4,4,11.26222263,0.322010306,279.5239987,315,535.0026463,structure_PENTAGON_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_1.5999999999999999x1.4500000000000004x1.4000000000000001_outthick_1.0.stl,PENTAGON
5,7,9,0.7,1,2,3,4,5,13.28370072,0.245,273.1563427,315,539.3163508,structure_DIAMOND_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_1.5999999999999999x1.4500000000000004x1.4000000000000001_outthick_1.0.stl,DIAMOND
5,7,9,0.7,1,2,3,4,6,14.39377947,0.212176224,269.6595947,315,539.7039205,structure_HEXAGON_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_1.5999999999999999x1.4500000000000004x1.4000000000000001_outthick_1.0.stl,HEXAGON
5,7,9,0.7,0.5,2,3,4,1,21.21777996,0.49,248.1639931,315,595.4000084,structure_SQUARE_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.7333333333333336_outthick_0.5.stl,SQUARE
5,7,9,0.7,0.5,2,3,4,2,17.06868066,0.3848451,261.2336559,315,540.0519303,structure_CIRCLE_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.7333333333333336_outthick_0.5.stl,CIRCLE
5,7,9,0.7,0.5,2,3,4,3,7.58672606,0.318264336,291.1018129,315,532.8228128,structure_TRI_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.7333333333333336_outthick_0.5.stl,TRI
5,7,9,0.7,0.5,2,3,4,4,11.26222351,0.322010306,279.5239959,315,535.0026523,structure_PENTAGON_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.7333333333333336_outthick_0.5.stl,PENTAGON
5,7,9,0.7,0.5,2,3,4,5,13.28370053,0.245,273.1563433,315,539.3163475,structure_DIAMOND_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.7333333333333336_outthick_0.5.stl,DIAMOND
5,7,9,0.7,0.5,2,3,4,6,14.39378002,0.212176224,269.6595929,315,539.7039233,structure_HEXAGON_cube_5.00x7.00x9.00_holes2x3x4_pore0.700_thick_2.5999999999999996x1.9500000000000004x1.7333333333333336_outthick_0.5.stl,HEXAGON
5,7,9,0.7,1,2,2,3,1,14.18666737,0.49,270.3119978,315,502.1600032,structure_SQUARE_cube_5.00x7.00x9.00_holes2x2x3_pore0.700_thick_1.5999999999999999x3.5999999999999996x2.45_outthick_1.0.stl,SQUARE
5,7,9,0.7,1,2,2,3,2,11.34346605,0.3848451,279.2680819,315,461.2926836,structure_CIRCLE_cube_5.00x7.00x9.00_holes2x2x3_pore0.700_thick_1.5999999999999999x3.5999999999999996x2.45_outthick_1.0.stl,CIRCLE
5,7,9,0.7,1,2,2,3,3,4.955280053,0.318264336,299.3908678,315,450.2856312,structure_TRI_cube_5.00x7.00x9.00_holes2x2x3_pore0.700_thick_1.5999999999999999x3.5999999999999996x2.45_outthick_1.0.stl,TRI
5,7,9,0.7,1,2,2,3,4,7.420000414,0.322010306,291.6269987,315,454.5690017,structure_PENTAGON_cube_5.00x7.00x9.00_holes2x2x3_pore0.700_thick_1.5999999999999999x3.5999999999999996x2.45_outthick_1.0.stl,PENTAGON
5,7,9,0.7,1,2,2,3,5,8.768518463,0.245,287.3791668,315,458.2273227,structure_DIAMOND_cube_5.00x7.00x9.00_holes2x2x3_pore0.700_thick_1.5999999999999999x3.5999999999999996x2.45_outthick_1.0.stl,DIAMOND
5,7,9,0.7,1,2,2,3,6,9.520723708,0.212176224,285.0097203,315,459.2423671,structure_HEXAGON_cube_5.00x7.00x9.00_holes2x2x3_pore0.700_thick_1.5999999999999999x3.5999999999999996x2.45_outthick_1.0.stl,HEXAGON
5,7,9,0.8,0.5,3,5,7,1,58.71745908,0.64,130.0400039,315,851.1200056,structure_SQUARE_cube_5.00x7.00x9.00_holes3x5x7_pore0.800_thick_0.7999999999999998x0.5x0.3999999999999999_outthick_0.5.stl,SQUARE
5,7,9,0.8,0.5,3,5,7,2,48.7779193,0.502654825,161.3495542,315,793.0504129,structure_CIRCLE_cube_5.00x7.00x9.00_holes3x5x7_pore0.800_thick_0.7999999999999998x0.5x0.3999999999999999_outthick_0.5.stl,CIRCLE
5,7,9,0.8,0.5,3,5,7,3,23.6146907,0.415692194,240.6137243,315,897.3517884,structure_TRI_cube_5.00x7.00x9.00_holes3x5x7_pore0.800_thick_0.7999999999999998x0.5x0.3999999999999999_outthick_0.5.stl,TRI
5,7,9,0.8,0.5,3,5,7,4,33.62539548,0.42058489,209.0800043,315,846.9747921,structure_PENTAGON_cube_5.00x7.00x9.00_holes3x5x7_pore0.800_thick_0.7999999999999998x0.5x0.3999999999999999_outthick_0.5.stl,PENTAGON
5,7,9,0.8,0.5,3,5,7,5,39.28844816,0.32,191.2413883,315,842.0496957,structure_DIAMOND_cube_5.00x7.00x9.00_holes3x5x7_pore0.800_thick_0.7999999999999998x0.5x0.3999999999999999_outthick_0.5.stl,DIAMOND
5,7,9,0.8,0.5,3,5,7,6,42.1376474,0.277128129,182.2664107,315,828.0784146,structure_HEXAGON_cube_5.00x7.00x9.00_holes3x5x7_pore0.800_thick_0.7999999999999998x0.5x0.3999999999999999_outthick_0.5.stl,HEXAGON
5,7,9,0.8,1,2,4,6,1,40.47237945,0.64,187.5120047,315,744.2399976,structure_SQUARE_cube_5.00x7.00x9.00_holes2x4x6_pore0.800_thick_1.4000000000000001x0.5999999999999999x0.4399999999999997_outthick_1.0.stl,SQUARE
5,7,9,0.8,1,2,4,6,2,33.0002482,0.502654825,211.0492182,315,674.784686,structure_CIRCLE_cube_5.00x7.00x9.00_holes2x4x6_pore0.800_thick_1.4000000000000001x0.5999999999999999x0.4399999999999997_outthick_1.0.stl,CIRCLE
5,7,9,0.8,1,2,4,6,3,15.22179651,0.415692194,267.051341,315,700.1118702,structure_TRI_cube_5.00x7.00x9.00_holes2x4x6_pore0.800_thick_1.4000000000000001x0.5999999999999999x0.4399999999999997_outthick_1.0.stl,TRI
5,7,9,0.8,1,2,4,6,4,22.18666568,0.42058489,245.1120031,315,686.855826,structure_PENTAGON_cube_5.00x7.00x9.00_holes2x4x6_pore0.800_thick_1.4000000000000001x0.5999999999999999x0.4399999999999997_outthick_1.0.stl,PENTAGON
5,7,9,0.8,1,2,4,6,5,26.06231262,0.32,232.9037152,315,689.1397866,structure_DIAMOND_cube_5.00x7.00x9.00_holes2x4x6_pore0.800_thick_1.4000000000000001x0.5999999999999999x0.4399999999999997_outthick_1.0.stl,DIAMOND
5,7,9,0.8,1,2,4,6,6,28.11594377,0.277128129,226.4347771,315,685.2164323,structure_HEXAGON_cube_5.00x7.00x9.00_holes2x4x6_pore0.800_thick_1.4000000000000001x0.5999999999999999x0.4399999999999997_outthick_1.0.stl,HEXAGON
5,7,9,0.8,0.5,3,5,6,1,54.24761772,0.64,144.1200042,315,829.3600048,structure_SQUARE_cube_5.00x7.00x9.00_holes3x5x6_pore0.800_thick_0.7999999999999998x0.5x0.6399999999999999_outthick_0.5.stl,SQUARE
5,7,9,0.8,0.5,3,5,6,2,44.88627366,0.502654825,173.608238,315,766.927644,structure_CIRCLE_cube_5.00x7.00x9.00_holes3x5x6_pore0.800_thick_0.7999999999999998x0.5x0.6399999999999999_outthick_0.5.stl,CIRCLE
5,7,9,0.8,0.5,3,5,6,3,21.51369039,0.415692194,247.2318753,315,849.2096527,structure_TRI_cube_5.00x7.00x9.00_holes3x5x6_pore0.800_thick_0.7999999999999998x0.5x0.6399999999999999_outthick_0.5.stl,TRI
5,7,9,0.8,0.5,3,5,6,4,30.78095109,0.42058489,218.0400041,315,809.102696,structure_PENTAGON_cube_5.00x7.00x9.00_holes3x5x6_pore0.800_thick_0.7999999999999998x0.5x0.6399999999999999_outthick_0.5.stl,PENTAGON
5,7,9,0.8,0.5,3,5,6,5,36.00493052,0.32,201.5844689,315,806.3270757,structure_DIAMOND_cube_5.00x7.00x9.00_holes3x5x6_pore0.800_thick_0.7999999999999998x0.5x0.6399999999999999_outthick_0.5.stl,DIAMOND
5,7,9,0.8,0.5,3,5,6,6,38.66303749,0.277128129,193.2114319,315,795.1428106,structure_HEXAGON_cube_5.00x7.00x9.00_holes3x5x6_pore0.800_thick_0.7999999999999998x0.5x0.6399999999999999_outthick_0.5.stl,HEXAGON
5,7,9,0.8,1,2,4,5,1,36.16507943,0.64,201.0799998,315,704.5599996,structure_SQUARE_cube_5.00x7.00x9.00_holes2x4x5_pore0.800_thick_1.4000000000000001x0.5999999999999999x0.75_outthick_1.0.stl,SQUARE
5,7,9,0.8,1,2,4,5,2,29.41454607,0.502654825,222.3441799,315,638.804179,structure_CIRCLE_cube_5.00x7.00x9.00_holes2x4x5_pore0.800_thick_1.4000000000000001x0.5999999999999999x0.75_outthick_1.0.stl,CIRCLE
5,7,9,0.8,1,2,4,5,3,13.47662519,0.415692194,272.5486306,315,655.4805029,structure_TRI_cube_5.00x7.00x9.00_holes2x4x5_pore0.800_thick_1.4000000000000001x0.5999999999999999x0.75_outthick_1.0.stl,TRI
5,7,9,0.8,1,2,4,5,4,19.7079364,0.42058489,252.9200004,315,646.3460943,structure_PENTAGON_cube_5.00x7.00x9.00_holes2x4x5_pore0.800_thick_1.4000000000000001x0.5999999999999999x0.75_outthick_1.0.stl,PENTAGON
5,7,9,0.8,1,2,4,5,5,23.16782288,0.32,242.0213579,315,649.1490529,structure_DIAMOND_cube_5.00x7.00x9.00_holes2x4x5_pore0.800_thick_1.4000000000000001x0.5999999999999999x0.75_outthick_1.0.stl,DIAMOND
5,7,9,0.8,1,2,4,5,6,25.01354275,0.277128129,236.2073403,315,646.3718494,structure_HEXAGON_cube_5.00x7.00x9.00_holes2x4x5_pore0.800_thick_1.4000000000000001x0.5999999999999999x0.75_outthick_1.0.stl,HEXAGON
5,7,9,0.8,0.5,3,4,5,1,44.08888746,0.64,176.1200045,315,766.6400003,structure_SQUARE_cube_5.00x7.00x9.00_holes3x4x5_pore0.800_thick_0.7999999999999998x0.9333333333333333x1.0_outthick_0.5.stl,SQUARE
5,7,9,0.8,0.5,3,4,5,2,36.14579642,0.502654825,201.1407413,315,699.6036662,structure_CIRCLE_cube_5.00x7.00x9.00_holes3x4x5_pore0.800_thick_0.7999999999999998x0.9333333333333333x1.0_outthick_0.5.stl,CIRCLE
5,7,9,0.8,0.5,3,4,5,3,16.9157935,0.415692194,261.7152505,315,740.454624,structure_TRI_cube_5.00x7.00x9.00_holes3x4x5_pore0.800_thick_0.7999999999999998x0.9333333333333333x1.0_outthick_0.5.stl,TRI
5,7,9,0.8,0.5,3,4,5,4,24.4825386,0.42058489,237.8800034,315,719.7820523,structure_PENTAGON_cube_5.00x7.00x9.00_holes3x4x5_pore0.800_thick_0.7999999999999998x0.9333333333333333x1.0_outthick_0.5.stl,PENTAGON
5,7,9,0.8,0.5,3,4,5,5,28.71328065,0.32,224.553166,315,720.7749869,structure_DIAMOND_cube_5.00x7.00x9.00_holes3x4x5_pore0.800_thick_0.7999999999999998x0.9333333333333333x1.0_outthick_0.5.stl,DIAMOND
5,7,9,0.8,0.5,3,4,5,6,30.92202457,0.277128129,217.5956226,315,714.8716212,structure_HEXAGON_cube_5.00x7.00x9.00_holes3x4x5_pore0.800_thick_0.7999999999999998x0.9333333333333333x1.0_outthick_0.5.stl,HEXAGON
5,7,9,0.8,1,2,3,5,1,30.67936503,0.64,218.3600002,315,652.7200002,structure_SQUARE_cube_5.00x7.00x9.00_holes2x3x5_pore0.800_thick_1.4000000000000001x1.2999999999999996x0.75_outthick_1.0.stl,SQUARE
5,7,9,0.8,1,2,3,5,2,24.85264172,0.502654825,236.7141786,315,592.0695314,structure_CIRCLE_cube_5.00x7.00x9.00_holes2x3x5_pore0.800_thick_1.4000000000000001x1.2999999999999996x0.75_outthick_1.0.stl,CIRCLE
5,7,9,0.8,1,2,3,5,3,11.26216908,0.415692194,279.5241674,315,598.44421,structure_TRI_cube_5.00x7.00x9.00_holes2x3x5_pore0.800_thick_1.4000000000000001x1.2999999999999996x0.75_outthick_1.0.stl,TRI
5,7,9,0.8,1,2,3,5,4,16.55873003,0.42058489,262.8400004,315,594.2575499,structure_PENTAGON_cube_5.00x7.00x9.00_holes2x3x5_pore0.800_thick_1.4000000000000001x1.2999999999999996x0.75_outthick_1.0.stl,PENTAGON
5,7,9,0.8,1,2,3,5,5,19.48932559,0.32,253.6086244,315,597.6046402,structure_DIAMOND_cube_5.00x7.00x9.00_holes2x3x5_pore0.800_thick_1.4000000000000001x1.2999999999999996x0.75_outthick_1.0.stl,DIAMOND
5,7,9,0.8,1,2,3,5,6,21.06955755,0.277128129,248.6308937,315,596.2004237,structure_HEXAGON_cube_5.00x7.00x9.00_holes2x3x5_pore0.800_thick_1.4000000000000001x1.2999999999999996x0.75_outthick_1.0.stl,HEXAGON
5,7,9,0.8,0.5,2,4,5,1,36.16507784,0.64,201.0800048,315,704.5599991,structure_SQUARE_cube_5.00x7.00x9.00_holes2x4x5_pore0.800_thick_2.4000000000000004x0.9333333333333333x1.0_outthick_0.5.stl,SQUARE
5,7,9,0.8,0.5,2,4,5,2,29.41458492,0.502654825,222.3440575,315,638.8052739,structure_CIRCLE_cube_5.00x7.00x9.00_holes2x4x5_pore0.800_thick_2.4000000000000004x0.9333333333333333x1.0_outthick_0.5.stl,CIRCLE
5,7,9,0.8,0.5,2,4,5,3,13.47662488,0.415692194,272.5486316,315,655.4804969,structure_TRI_cube_5.00x7.00x9.00_holes2x4x5_pore0.800_thick_2.4000000000000004x0.9333333333333333x1.0_outthick_0.5.stl,TRI
5,7,9,0.8,0.5,2,4,5,4,19.70793546,0.42058489,252.9200033,315,646.3460896,structure_PENTAGON_cube_5.00x7.00x9.00_holes2x4x5_pore0.800_thick_2.4000000000000004x0.9333333333333333x1.0_outthick_0.5.stl,PENTAGON
5,7,9,0.8,0.5,2,4,5,5,23.16782306,0.32,242.0213574,315,649.1490556,structure_DIAMOND_cube_5.00x7.00x9.00_holes2x4x5_pore0.800_thick_2.4000000000000004x0.9333333333333333x1.0_outthick_0.5.stl,DIAMOND
5,7,9,0.8,0.5,2,4,5,6,25.01354166,0.277128129,236.2073438,315,646.3718478,structure_HEXAGON_cube_5.00x7.00x9.00_holes2x4x5_pore0.800_thick_2.4000000000000004x0.9333333333333333x1.0_outthick_0.5.stl,HEXAGON
5,7,9,0.8,1,2,3,4,1,26.73777652,0.64,230.776004,315,612.399997,structure_SQUARE_cube_5.00x7.00x9.00_holes2x3x4_pore0.800_thick_1.4000000000000001x1.2999999999999996x1.2666666666666664_outthick_1.0.stl,SQUARE
5,7,9,0.8,1,2,3,4,2,21.60501858,0.502654825,246.9441915,315,556.7908716,structure_CIRCLE_cube_5.00x7.00x9.00_holes2x3x4_pore0.800_thick_1.4000000000000001x1.2999999999999996x1.2666666666666664_outthick_1.0.stl,CIRCLE
